Rank,Name,Team,Position,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,SnapsPlayed,SnapsPlayedPercentage,FantasyPointSnapPercentage,FantasyPoints
140,Minnesota Vikings,MIN,DST,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
142,Shaquil Barrett,TB,OLB,71,52,58,53,43,37,40,66,null,55,42,55,54,66,43,32,null,null,767,76.7,16,122.85
143,DeVonta Smith,PHI,WR,62,49,57,68,62,51,60,44,44,54,72,61,44,null,62,54,58,14,916,81.8,13.3,121.6
144,Logan Ryan,NYG,S,61,71,62,68,78,53,63,81,69,null,null,null,69,70,70,63,65,59,1002,97.9,12.1,121.4
145,Christian Wilkins,MIA,DT,42,44,58,46,46,46,43,48,38,34,35,31,37,null,42,43,56,45,734,65.9,16.5,121.1
146,Los Angeles Rams,LAR,DST,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,121
146,Jalen Thompson,ARI,S,54,57,67,68,53,56,45,64,45,64,49,null,69,55,57,66,63,55,987,91.1,12.3,121
148,Isaiah Simmons,ARI,ILB,58,50,60,65,62,59,44,71,59,75,49,null,75,57,59,40,64,58,1005,92.8,12,120.1
149,Haason Reddick,CAR,LB,49,35,46,47,56,84,59,49,50,43,55,46,null,60,67,63,null,45,854,83.1,14,119.9
150,Jeremy Chinn,CAR,S,64,44,55,61,67,89,72,53,56,54,67,71,null,69,70,67,58,null,1017,99.1,11.8,119.7
151,Josh Allen,JAX,OLB,53,49,51,41,43,62,null,45,52,55,49,40,51,38,41,null,47,51,768,73.1,15.6,119.5
152,Xavier Woods,MIN,S,69,61,53,78,68,74,null,73,98,59,59,70,72,74,73,70,75,82,1208,100,9.9,119.3
153,Green Bay Packers,GB,DST,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,119
154,Michael Carter,NYJ,RB,16,33,23,31,29,null,47,59,45,40,20,null,null,null,31,43,8,24,449,48.8,26.4,118.4
155,Van Jefferson,LAR,WR,36,54,50,46,39,42,61,56,75,52,null,61,53,46,61,67,31,45,875,80.3,13.5,118.2
156,San Francisco 49ers,SF,DST,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
157,A.J. Brown,TEN,WR,52,74,8,null,41,42,42,67,45,49,42,null,null,null,null,46,40,56,604,69.4,19.5,117.9
158,Taysom Hill,NO,TE,22,10,33,34,9,null,null,null,17,21,null,null,70,70,61,null,58,26,431,56.3,27.3,117.72
159,Tony Pollard,DAL,RB,20,21,29,18,31,26,null,19,24,32,22,31,28,null,29,25,19,null,374,34.6,31.4,117.6
160,Jameis Winston,NO,QB,60,42,59,60,56,null,74,20,null,null,null,null,null,null,null,null,null,null,371,83.9,31.6,117.4
161,Shaq Thompson,CAR,LB,65,44,55,57,null,null,null,35,43,43,63,74,null,69,70,67,53,60,798,93,14.7,117.3
161,T.J. Edwards,PHI,LB,29,21,31,17,16,24,27,41,66,54,60,56,57,null,52,72,62,null,685,64.7,17.1,117.3
161,Joey Bosa,LAC,OLB,45,51,55,47,64,58,null,68,49,67,58,55,9,37,62,null,51,72,848,78.1,13.8,117.3
164,Maxx Crosby,LV,DE,62,52,62,56,52,56,50,null,40,56,55,66,60,54,43,32,47,82,925,79.8,12.7,117.25
165,Jayron Kearse,DAL,S,40,69,54,67,68,54,null,66,78,39,68,86,69,68,63,48,76,null,1013,94.9,11.6,117.2
166,Nick Bolton,KC,LB,45,63,52,37,43,39,57,43,27,19,19,null,22,28,79,null,27,24,624,59.7,18.8,117
167,Tyler Boyd,CIN,WR,51,48,37,36,55,45,45,45,59,null,52,52,57,57,46,69,54,null,808,77.2,14.5,116.84
168,Leonard Floyd,LAR,LB,57,54,58,62,63,38,65,33,56,51,null,63,48,65,48,45,62,64,932,80.7,12.5,116.35
169,Rob Gronkowski,TB,TE,57,51,45,null,null,null,null,6,null,null,46,55,58,73,63,60,70,50,634,75.9,18.3,116.2
170,Tae Crowder,NYG,ILB,25,42,61,68,78,66,64,81,69,null,78,67,69,71,71,63,66,59,1098,93.9,10.6,116
171,Rashaad Penny,SEA,RB,7,null,null,null,null,null,20,11,null,null,8,null,29,35,24,30,46,43,253,42.9,45.7,115.7
172,Dawson Knox,BUF,TE,48,54,62,58,55,61,null,null,null,49,55,60,56,75,63,79,67,75,917,86.7,12.6,115.1
173,Hunter Henry,NE,TE,54,47,52,40,40,37,60,50,35,55,32,41,15,null,55,55,39,42,749,67.8,15.3,114.3
173,Brandon Aiyuk,SF,WR,26,38,60,51,46,null,40,49,55,61,64,63,54,67,56,55,56,65,906,83,12.6,114.3
175,Antoine Winfield Jr.,TB,S,84,72,65,46,null,null,58,75,null,73,57,69,71,78,null,null,61,67,876,98.3,13,113.8
176,Trevon Diggs,DAL,CB,65,71,54,50,57,53,null,64,76,45,67,87,70,68,63,48,76,null,1014,94.9,11.2,113.5
176,Jalen Ramsey,LAR,DB,69,67,73,78,65,57,69,43,57,62,null,82,54,null,57,63,71,70,1037,96.3,10.9,113.5
