Rank,Name,Team,Position,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,SnapsPlayed,SnapsPlayedPercentage,FantasyPointSnapPercentage,FantasyPoints
1412,Carter Coughlin,NYG,ILB,4,2,5,0,11,12,5,null,null,null,null,null,null,null,null,null,null,null,39,8.2,9,3.5
1412,Jordan Kunaszyk,WAS,LB,null,null,null,null,0,0,0,0,null,0,0,0,1,null,0,11,0,null,12,1.8,29.2,3.5
1427,Seth Williams,DEN,WR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43,6,49,43,6.9,3.4
1427,Dominique Dafney,GB,TE,19,29,null,null,null,null,null,14,25,null,16,20,null,7,null,3,19,15,167,25.1,2,3.4
1427,Trenton Irwin,CIN,WR,null,null,6,16,9,11,3,null,null,null,null,null,5,null,null,null,null,33,83,19,4.1,3.4
1427,Shane Zylstra,DET,TE,null,null,null,null,0,null,null,null,null,null,null,null,null,40,29,13,null,null,82,31.2,4.1,3.4
1431,Kaden Smith,NYG,TE,29,32,28,9,24,16,26,18,10,null,null,null,null,null,null,null,null,null,192,32.3,1.7,3.3
1431,Cody Hollister,TEN,WR,null,null,null,null,null,null,null,null,null,null,null,48,null,43,56,null,null,null,147,68.7,2.2,3.3
1431,Cody White,PIT,WR,null,null,9,2,16,0,null,0,2,12,0,0,1,0,0,28,0,7,77,7.3,4.3,3.3
1431,Colby Parkinson,SEA,TE,null,null,null,38,35,4,4,8,null,0,4,0,7,8,1,22,20,36,187,22.5,1.8,3.3
1435,Chad Henne,KC,QB,null,null,null,null,null,null,18,null,null,3,null,null,null,4,null,6,null,null,31,11,10.6,3.28
1436,La'Mical Perine,NYJ,RB,null,null,null,null,null,null,1,6,0,null,null,null,null,17,null,null,null,null,24,8.2,12.9,3.1
1436,Jeremy Sprinkle,DAL,TE,3,2,9,14,13,8,null,5,3,27,0,3,7,23,17,17,11,22,184,15,1.7,3.1
1436,Tommy Hudson,TEN,TE,null,21,21,18,null,null,null,null,null,null,5,0,null,null,null,null,null,null,65,16.2,4.8,3.1
1439,Blake Cashman,NYJ,LB,8,null,null,null,15,null,33,null,null,null,null,null,null,null,null,null,null,null,56,25.7,5.4,3
1439,John Cominsky,ATL,DL,2,null,null,0,null,null,null,null,null,null,null,null,null,8,null,null,3,null,13,4.7,23.1,3
1439,KJ Hill Jr.,LAC,WR,7,0,0,2,4,1,null,null,null,null,null,null,null,null,null,null,null,null,14,3.3,21.4,3
1439,Kendall Sheffield,ATL,DB,null,null,null,null,0,null,null,0,0,null,null,null,7,0,5,0,52,0,64,10.5,4.7,3
1439,Javaris Davis,MIA,CB,null,null,null,null,null,null,null,null,null,null,null,10,null,null,null,null,null,null,10,20,30,3
1439,Torry McTyer,WAS,CB,9,0,4,29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42,13.8,7.1,3
1439,Maurice Hurst,SF,DL,null,null,null,20,21,null,null,null,null,null,null,null,null,null,null,null,null,null,41,35,7.3,3
1439,Darian Thompson,DAL,SS,1,null,null,null,null,null,null,null,null,null,null,null,null,1,16,13,23,null,54,16.4,5.6,3
1439,Brandin Bryant,BUF,DT,null,null,null,null,null,null,null,null,null,null,null,18,null,14,null,null,null,null,32,22.9,9.4,3
1439,Chris Williams,IND,DT,4,null,12,3,10,null,null,null,null,null,null,null,null,null,6,6,9,12,62,12.2,4.8,3
1439,Ken Crawley,NO,CB,null,null,null,null,null,null,null,null,null,3,null,1,7,null,null,1,3,14,29,7.8,10.3,3
1439,Forrest Merrill,LAC,DL,null,null,null,3,15,null,null,null,null,null,11,null,null,null,null,7,null,null,36,13.5,8.3,3
1439,Marlon Tuipulotu,PHI,DT,6,null,7,null,null,null,null,13,3,null,null,null,null,null,null,null,null,26,55,16.1,5.5,3
1439,Tanner Muse,SEA,LB,null,null,null,null,null,null,null,0,null,0,null,null,null,null,0,0,0,0,0,0,0,3
1439,Andre Mintze,DEN,OLB,16,2,7,null,13,8,null,null,null,null,null,null,null,null,null,null,39,null,85,23.9,3.5,3
1439,Henry Anderson,NE,DE,3,18,11,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35,13.2,8.6,3
1439,Charles Washington,ARI,S,3,0,7,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,10,2.2,30,3
1439,Mark Webb Jr.,LAC,DB,0,0,4,4,0,1,null,null,2,null,null,null,null,null,null,null,null,null,11,2.5,27.3,3
1439,Tony Fields II,CLE,LB,null,null,0,0,null,0,0,0,0,null,0,0,null,0,null,null,null,0,0,0,0,3
1439,Christian Rozeboom,KC,LB,null,null,null,null,null,null,0,null,0,0,null,0,0,0,0,0,0,0,0,0,0,3
1439,Jonah Williams,LAR,DT,13,11,7,9,6,26,8,16,null,null,null,null,null,null,null,null,null,null,96,17.4,3.1,3
1460,Daniel Brown,NYJ,TE,0,1,5,1,2,null,1,3,null,null,null,null,2,9,0,2,12,null,38,4.9,7.6,2.9
1460,Kylin Hill,GB,RB,14,5,0,0,2,0,5,0,null,null,null,null,null,null,null,null,null,null,26,5.1,11.2,2.9
1462,Jake Kumerow,BUF,WR,3,5,13,12,7,1,null,13,1,null,null,5,1,5,11,16,13,10,116,10.7,2.4,2.8
1462,Dwayne Washington,NO,RB,0,0,0,5,2,null,null,null,0,4,4,0,0,0,0,null,0,0,15,1.7,18.7,2.8
1464,Mike Strachan,IND,WR,18,34,null,5,2,null,null,null,3,null,null,null,null,null,null,null,null,null,62,18,4.2,2.6
1464,Reggie Gilliam,BUF,FB,2,14,11,18,22,4,null,4,0,22,7,3,null,1,5,9,15,18,155,13.6,1.7,2.6
1466,Ben Banogu,IND,DE,6,4,13,6,12,7,0,null,null,null,6,null,null,null,null,14,null,null,68,12.3,3.7,2.5
1466,Jonathan Marshall,NYJ,DL,null,null,null,9,null,null,null,null,null,null,null,null,19,null,29,null,19,null,76,24.1,3.3,2.5
1466,Dee Virgin,CHI,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,18,null,null,32,26.7,7.8,2.5
1466,Karl Joseph,PIT,S,null,null,null,null,2,null,null,null,null,null,15,null,null,null,null,null,null,null,17,12.5,14.7,2.5
1466,Sharif Finch,NO,DE,null,null,null,5,null,null,null,null,null,null,null,null,null,null,null,19,null,null,24,19,10.4,2.5
1466,Christian Elliss,PHI,LB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,7,11.3,35.7,2.5
1466,Tyler Shelvin,CIN,DT,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,3,null,42,49,28.3,5.1,2.5
1466,T.Y. McGill,MIN,DL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14,19,33,21,7.6,2.5
1466,D'Angelo Ross,NE,DB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,9,46,60,30.9,4.2,2.5
1466,Curtis Bolton,DET,LB,null,null,null,null,null,null,null,null,null,null,null,null,null,12,13,10,16,7,58,17.6,4.3,2.5
1466,Emeke Egbule,LAC,OLB,null,null,4,null,null,null,null,null,null,null,null,null,null,17,null,23,null,null,44,20.4,5.7,2.5
1466,Josh Jackson,KC,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,18,null,9,null,null,27,20.5,9.3,2.5
1466,Da'Shawn Hand,DET,DE,null,null,null,null,null,null,null,8,null,68,12,null,null,null,null,null,null,6,94,33.2,2.7,2.5
1466,Darqueze Dennard,NYG,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,21,21,16.4,11.9,2.5
1466,Jared Norris,WAS,ILB,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,2.5
1466,Victor Dimukeje,ARI,OLB,4,0,null,null,null,12,11,0,0,0,0,null,1,0,0,0,29,0,57,6.5,4.4,2.5
1466,Antoine Brooks Jr.,LAR,S,null,null,null,null,null,null,null,0,0,0,null,0,0,0,null,null,0,0,0,0,0,2.5
1466,Christian Blake,ATL,WR,5,13,0,3,16,null,0,0,3,17,null,2,1,2,7,12,26,3,110,11,2.3,2.5
1466,Gabe Nabers,LAC,FB,9,2,9,5,2,3,null,null,null,null,null,null,null,2,4,0,10,null,46,6.5,5.4,2.5
1466,Jeremiah Attaochu,CHI,OLB,20,28,29,31,21,null,null,null,null,null,null,null,null,null,null,null,null,null,129,39.6,1.9,2.5
1466,Ryan Connelly,MIN,LB,0,0,0,0,0,0,null,0,0,null,0,0,0,0,null,null,null,null,0,0,0,2.5
1466,Azur Kamara,DAL,DE,null,4,7,10,3,17,null,null,17,10,17,18,null,null,null,null,null,null,103,17.1,2.4,2.5
1466,Brent Urban,DAL,DE,28,31,23,30,30,19,null,null,null,null,null,null,null,null,null,null,null,null,161,42.3,1.6,2.5
1466,Richard LeCounte III,CLE,S,5,null,null,0,null,0,0,null,0,null,0,null,null,null,11,41,19,null,76,13,3.3,2.5
1466,Francis Bernard,DAL,LB,null,null,null,null,null,null,null,null,17,9,18,26,22,24,14,7,null,null,137,25.1,1.8,2.5
1491,Marcus Kemp,KC,WR,5,2,7,2,4,6,6,2,3,4,null,null,4,4,2,11,3,10,75,6.7,3.2,2.4
1492,Jaylen Samuels,HOU,RB,null,null,null,null,null,null,null,null,null,null,null,null,8,null,null,1,9,null,18,9.6,12.8,2.3
1492,Tylan Wallace,BAL,WR,0,1,0,1,3,2,2,null,0,0,5,3,1,0,14,27,20,5,84,6.8,2.7,2.3
1492,Dazz Newsome,CHI,WR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48,34,null,21,103,45,2.2,2.3
1495,Scottie Phillips,HOU,RB,null,null,0,null,null,null,null,15,4,null,null,null,null,null,null,null,null,null,19,10.3,11.6,2.2
1495,Jack Stoll,PHI,TE,12,6,4,6,5,14,13,42,28,42,17,16,28,null,38,26,34,null,331,31.6,0.7,2.2
1497,Patrick Laird,MIA,RB,null,null,null,null,null,null,null,10,7,16,11,12,2,null,null,null,null,null,58,13.6,3.6,2.1
1497,Adam Prentice,NO,FB,null,null,null,null,null,null,null,null,null,null,null,15,7,20,8,11,20,25,106,24.1,2,2.1
1499,Chris Streveler,ARI,QB,null,null,null,null,null,null,null,null,2,22,null,null,null,null,null,null,null,null,24,19.2,8.5,2.04
1500,Austin Faoliu,DAL,DT,null,null,null,13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13,18.8,15.4,2
1500,Nick Bawden,NYJ,FB,null,null,null,null,null,null,null,null,null,2,8,10,6,0,1,8,13,9,57,9.9,3.5,2
1500,Freedom Akinmoladun,NYJ,DT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21,null,null,21,28.8,9.5,2
1500,Ian Book,NO,QB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50,null,null,50,96.2,4,2
1500,Raheem Mostert,SF,RB,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,7.3,50,2
1500,Jamal Perry,MIA,CB,13,14,null,null,null,null,null,5,null,null,3,null,null,null,null,null,null,null,35,13,5.7,2
1500,T.J. Smith,MIN,DL,null,null,null,null,null,null,null,null,null,null,null,20,null,null,null,null,null,null,20,28.6,10,2
1500,Marvin Wilson,PHI,DT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,19,30.6,10.5,2
1500,Kary Vincent Jr.,PHI,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,29,29,23.2,6.9,2
1500,Mac McCain III,PHI,CB,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,11,7.9,18.2,2
1500,Robert Jackson,BAL,CB,null,null,null,null,null,null,null,null,null,null,null,null,0,0,38,5,0,null,43,13.4,4.7,2
1500,David Moa,NYG,DT,null,null,null,null,null,null,7,null,null,null,null,null,null,null,null,9,26,null,42,21.8,4.8,2
1500,Keandre Jones,CIN,LB,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,5,5,1.5,40,2
1500,Myles Dorn,MIN,S,null,0,null,null,null,null,null,null,0,0,0,0,0,null,0,null,0,0,0,0,0,2
1500,Rachad Wildgoose,NYJ,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,1,8,2,5,10,26,7,7.7,2
1500,Bradlee Anae,DAL,DL,10,23,null,null,17,null,null,21,null,null,null,null,null,null,null,null,null,null,71,26.3,2.8,2
1500,Harvey Langi,NE,LB,0,9,0,2,0,0,5,null,null,null,null,null,null,null,null,null,null,null,16,3.4,12.5,2
1500,Chauncey Rivers,GB,OLB,11,11,13,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,21.9,3.7,2
1500,Kylie Fitts,ARI,OLB,10,2,1,15,0,9,null,null,null,null,null,null,null,null,null,null,null,null,37,9.7,5.4,2
1500,Jabril Cox,DAL,LB,0,11,4,19,4,1,null,14,null,null,null,null,null,null,null,null,null,null,53,11.9,3.8,2
1500,Amani Bledsoe,TEN,DL,null,null,null,32,28,14,null,7,null,7,null,null,null,null,null,null,null,null,88,24.7,2.3,2
1500,Christian Kuntz,PIT,LS,10,7,7,6,8,12,null,6,11,0,8,7,8,9,11,0,11,12,133,37.7,1.5,2
1500,Hardy Nickerson,HOU,ILB,null,null,null,9,null,null,null,22,null,null,null,null,null,null,null,null,null,null,31,23,6.5,2
1500,Elijah Campbell,MIA,DB,null,null,null,14,16,18,23,22,21,null,19,null,null,null,null,null,null,null,133,28.1,1.5,2
1500,Buddy Johnson,PIT,LB,0,5,null,null,null,null,null,null,null,null,null,null,0,6,null,null,null,null,11,3.7,18.2,2
1500,Ledarius Mack,CHI,LB,null,null,null,null,null,null,null,null,null,null,10,null,null,null,10,4,null,null,24,11.9,8.3,2
1500,JaCoby Stevens,PHI,LB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,44,44,35.2,4.5,2
1527,Blaine Gabbert,TB,QB,null,3,null,null,12,null,8,null,null,null,9,null,null,null,null,3,null,9,44,10.6,4.5,1.98
1528,Darrynton Evans,TEN,RB,null,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,6,8.8,30,1.8
1529,Keith Kirkwood,CAR,WR,null,null,null,null,null,null,29,35,null,null,null,null,null,null,null,null,null,10,74,35.2,2.3,1.7
1529,Davion Davis,HOU,WR,null,null,null,null,null,null,null,null,null,null,null,null,20,1,null,null,null,null,21,15.8,8.1,1.7
1529,David Sills V,NYG,WR,null,null,null,null,null,null,27,null,null,null,null,null,null,null,null,15,40,16,98,37.1,1.7,1.7
1532,Reggie Bonnafon,CAR,RB,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,14,null,0,14,5,11.4,1.6
1532,Mitchell Wilcox,CIN,TE,1,1,2,3,2,10,8,2,2,null,null,null,1,0,1,3,1,47,84,8.8,1.9,1.6
1532,Tyron Johnson,JAX,WR,9,7,2,9,null,null,null,13,null,null,null,null,null,1,2,18,4,4,69,10.3,2.3,1.6
1532,Derek Watt,PIT,FB,4,0,7,2,9,6,null,8,7,6,2,2,6,5,6,3,5,8,86,7.3,1.9,1.6
1532,Cethan Carter,MIA,TE,13,16,0,1,5,4,0,0,4,0,0,0,3,null,1,null,1,4,52,4.8,3.1,1.6
1537,C.J. Beathard,JAX,QB,null,null,null,0,null,null,null,null,6,null,null,null,1,null,null,null,null,null,7,4,21.7,1.52
1538,Tim Harris,CLE,CB,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,2,2.7,75,1.5
1538,Noah Dawkins,NYJ,LB,null,null,null,null,null,null,14,16,null,null,null,null,null,null,null,null,null,null,30,22.7,5,1.5
1538,Trey Ragas,LV,RB,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,9,14.3,16.7,1.5
1538,Joe Giles-Harris,BUF,LB,null,null,null,null,null,null,null,null,null,null,null,null,17,25,null,null,null,null,42,31.3,3.6,1.5
1538,Connor Strachan,HOU,ILB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,4,null,14,33,16.5,4.5,1.5
1538,Vincent Taylor,HOU,DT,26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26,35.1,5.8,1.5
1538,Mark Nzeocha,SF,OLB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,1.5
1538,Tyler Coyle,DAL,S,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,16,21.6,9.4,1.5
1538,Raequan Williams,PHI,DT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43,43,69.4,3.5,1.5
1538,Curtis Weaver,CLE,DE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,6,11.1,25,1.5
1538,Tay Gowan,PHI,CB,null,null,null,null,null,null,null,16,null,null,null,null,null,null,null,null,null,28,44,35.5,3.4,1.5
1538,Vince Biegel,MIA,OLB,null,null,null,null,null,null,null,null,3,null,null,1,2,null,1,2,null,null,9,3.1,16.7,1.5
1538,Abdullah Anderson,GB,DL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18,null,16,15,49,26.8,3.1,1.5
1538,Jay Tufele,JAX,DT,null,null,null,null,13,null,null,null,null,null,null,null,29,null,null,4,null,8,54,21.9,2.8,1.5
1538,Jake Gervase,LAR,LB,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,0,0,0,1.5
1553,Andre Roberts,HOU,WR,0,22,0,2,0,2,null,0,2,0,1,0,0,0,1,null,0,3,33,3,4.2,1.4
1553,Frank Darby,ATL,WR,null,null,null,null,0,null,null,null,0,12,6,0,0,0,1,0,1,null,20,3.3,7,1.4
1553,Tyrell Williams,DET,WR,39,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39,42.4,3.6,1.4
1553,Anthony McFarland Jr.,PIT,RB,null,null,null,null,null,null,null,7,null,null,null,12,null,null,null,null,null,null,19,14,7.4,1.4
1553,Stanley Morgan,CIN,WR,0,0,3,2,0,0,0,7,14,null,12,22,5,13,2,15,7,33,135,12.3,1,1.4
1558,Derek Carrier,LV,TE,11,11,10,1,null,null,null,null,null,null,null,null,null,null,null,null,null,12,45,12.1,2.9,1.3
1558,John Kelly Jr.,CLE,RB,null,null,null,null,null,null,3,0,0,null,null,null,null,null,0,null,null,null,3,1.3,43.3,1.3
1558,Kirk Merritt,MIA,WR,null,null,null,null,null,null,null,null,11,null,null,null,null,null,null,null,0,null,11,8,11.8,1.3
1558,Andy Isabella,ARI,WR,null,0,null,null,0,null,null,null,7,null,0,null,null,null,12,5,4,2,30,5.3,4.3,1.3
1558,Cam Akers,LAR,RB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13,13,20,10,1.3
1563,Jacques Patrick,SF,RB,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,7.9,20,1.2
1563,Luke Stocker,MIN,TE,null,null,null,null,null,10,null,17,18,20,14,6,13,16,19,4,3,14,154,19.5,0.8,1.2
1565,Buddy Howell,LAR,RB,null,null,0,0,null,null,0,6,0,0,null,0,null,null,null,0,0,0,6,0.9,18.3,1.1
1565,Richard Rodgers,PHI,TE,null,null,null,null,null,null,7,24,null,null,null,null,null,null,null,null,null,38,69,33.2,1.6,1.1
1565,C.J. Saunders,CAR,WR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,15,20.8,7.3,1.1
1565,Mekhi Sargent,LAR,RB,1,0,1,null,null,null,null,null,null,null,null,null,2,0,0,null,null,2,6,1.2,18.3,1.1
1569,Nate Ebner,NYG,SS,0,0,null,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,0,0,0,1
1569,Rashad Weaver,TEN,OLB,null,1,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,10.4,8.3,1
1569,Rodarius Williams,NYG,CB,3,1,17,17,12,null,null,null,null,null,null,null,null,null,null,null,null,null,50,14.5,2,1
1569,Demone Harris,KC,DL,null,null,null,null,10,7,null,null,null,null,null,null,null,null,null,41,null,null,58,32.6,1.7,1
1569,Sam Beal,NYG,CB,null,null,null,null,null,0,null,1,1,null,null,null,null,null,null,null,null,null,2,0.9,50,1
1569,BoPete Keyes,IND,DB,null,null,null,1,5,2,0,null,null,null,null,null,null,null,5,null,null,null,13,4.1,7.7,1
1569,Darius Harris,KC,LB,0,0,0,0,null,null,0,0,null,null,null,null,null,null,2,null,null,null,2,0.4,50,1
1569,Jaydon Mickens,JAX,WR,0,0,null,3,13,3,null,null,null,null,null,0,3,1,1,1,null,0,25,3.3,4,1
1569,Cole Christiansen,LAC,LB,null,null,null,null,null,0,null,null,null,0,null,null,null,null,null,null,0,null,0,0,0,1
1569,Emmanuel Ellerbee,ATL,OLB,null,null,null,null,null,null,null,null,null,null,2,7,0,0,null,null,null,null,9,3.3,11.1,1
1569,Gavin Heslop,SEA,CB,null,null,null,null,null,null,null,null,null,null,4,0,null,4,null,null,null,null,8,3.2,12.5,1
1569,Saivion Smith,DET,CB,null,null,null,null,null,null,null,null,null,null,null,null,null,0,10,4,null,null,14,7.4,7.1,1
1569,Kamal Martin,CAR,LB,null,null,null,null,0,null,5,null,null,1,0,null,null,0,null,null,5,null,11,2.8,9.1,1
1569,Andrew Brown,LAC,DL,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,3,null,null,12,8.8,8.3,1
1569,Daniel Archibong,PIT,DL,null,null,null,null,null,null,null,null,null,null,8,5,null,null,null,null,null,null,13,9,7.7,1
1569,Vernon Scott,GB,S,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,5,null,0,8,4.3,12.5,1
1569,Essang Bassey,LAC,CB,null,null,null,null,null,null,null,null,null,null,null,10,null,null,null,11,null,null,21,15.1,4.8,1
1569,Brandon Rusnak,JAX,DB,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,10,11,4.2,9.1,1
1569,LaRoy Reynolds,NYJ,OLB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,15,20.5,6.7,1
1569,Marvin Hall,ATL,WR,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,5,null,null,17,17,5.9,1
1569,Nigel Warrior,SEA,S,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,19,19,6.8,5.3,1
1569,Zayne Anderson,KC,DB,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18,0,0,18,7.1,5.6,1
1569,Ethan Westbrooks,NO,DE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,null,null,15,23.1,6.7,1
1569,Lamarcus Joyner,NYJ,S,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,14.1,11.1,1
1569,Za'Darius Smith,GB,OLB,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18,30,5.6,1
1569,Doug Costin,JAX,DT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,null,15,20.8,6.7,1
1569,Jordan Smith,JAX,DE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,1,21,16.3,4.8,1
1569,Nick Thurman,ATL,DE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,null,17,22.4,5.9,1
1569,Woodrow Hamilton IV,NYG,NT,null,null,5,7,null,null,null,null,null,null,null,null,null,null,null,null,9,null,21,11.2,4.8,1
1569,Willie Harvey Jr.,CLE,LB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,0,null,0,0,0,1
1569,Isaiah McDuffie,GB,LB,null,0,0,0,0,null,5,0,null,0,0,0,null,null,0,0,0,0,5,0.6,20,1
1569,Parry Nickerson,MIN,CB,null,null,0,0,8,null,null,null,null,null,null,null,null,null,null,null,null,17,25,8.9,4,1
1569,Frank Herron,CAR,DE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,8,13.3,12.5,1
1569,KeiVarae Russell,NO,CB,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,0,0,0,0,1
1569,Tarik Black,NYJ,WR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19,19,41.3,5.3,1
1569,Demetrius Harris,ARI,TE,23,2,7,9,32,20,21,10,null,5,18,null,17,17,8,21,null,null,210,22.1,0.5,1
1569,Gary Brightwell,NYG,RB,8,0,2,0,0,0,0,0,null,null,1,1,0,0,0,null,null,null,12,1.4,8.3,1
1569,Jordan Richards,BAL,SS,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,0,null,null,0,0,0,1
1569,Jimmy Moreland,HOU,CB,null,null,5,null,null,null,null,null,3,null,6,4,8,null,null,11,null,8,45,9.2,2.2,1
1608,Johnny Mundt,LAR,TE,15,3,31,20,28,3,null,null,null,null,null,null,null,null,null,null,null,null,100,26.5,0.9,0.9
1608,Brycen Hopkins,LAR,TE,null,null,null,null,null,null,null,null,null,null,null,0,14,20,22,3,null,null,59,18.2,1.5,0.9
1608,Sam Ehlinger,IND,QB,null,null,null,null,null,null,null,null,1,null,7,null,10,null,null,null,null,null,18,8.9,5,0.9
1611,Hunter Long,MIA,TE,18,null,2,null,null,9,null,null,null,null,null,24,10,null,23,4,null,null,90,18.5,0.9,0.8
1611,Ethan Wolf,NO,TE,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,12,null,null,20,16.4,4,0.8
1611,Kevin Rader,PIT,TE,null,null,null,null,null,null,null,null,1,null,null,null,1,1,null,17,5,11,36,8.3,2.2,0.8
1611,Ryan Nall,CHI,RB,null,null,null,null,3,1,5,7,2,null,0,0,0,null,null,null,1,null,19,3.2,4.2,0.8
1615,Ryan Fitzpatrick,WAS,QB,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16,29.1,4.5,0.72
1616,Damarea Crockett,DEN,RB,0,0,4,0,0,0,0,null,null,0,null,null,0,1,0,null,0,null,5,0.6,14,0.7
1616,Eric Tomlinson,BAL,TE,19,12,15,25,7,23,11,null,34,15,12,27,25,14,22,12,9,37,319,25.7,0.2,0.7
1616,Tommylee Lewis,MIA,WR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,3,null,null,3,2.2,23.3,0.7
1619,Miles Boykin,BAL,WR,null,null,null,null,0,4,4,null,13,11,null,null,null,null,0,3,null,0,35,6,1.7,0.6
1619,David Blough,DET,QB,null,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,null,null,4,6.5,15,0.6
1621,Jake Funk,LAR,RB,0,3,14,0,0,0,null,null,null,null,null,null,null,null,0,2,1,0,20,3.1,2.5,0.5
1621,Dorian Etheridge,ATL,ILB,0,0,0,0,0,null,null,null,null,null,null,null,null,null,0,null,null,null,0,0,0,0.5
1621,Jabaal Sheard,MIA,DE,null,null,null,null,13,null,null,null,null,null,null,null,null,null,null,null,null,null,13,18.1,3.8,0.5
1621,Andrew Billings,CLE,DT,11,6,null,5,21,null,11,18,null,null,null,null,null,null,null,null,null,null,72,18.5,0.7,0.5
1621,Ar'Darius Washington,BAL,S,null,1,null,null,1,null,null,null,null,null,5,null,null,null,null,null,null,null,7,3.9,7.1,0.5
1621,Justin Lawler,LAR,OLB,6,3,null,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18,8.4,2.8,0.5
1621,Keke Coutee,IND,WR,null,null,null,null,null,null,4,null,null,null,null,null,null,null,null,29,null,null,33,23.9,1.5,0.5
1621,Bobby Brown III,LAR,DT,null,null,null,null,null,null,null,10,3,1,null,1,5,0,0,1,1,5,27,4.1,1.9,0.5
1621,Hamilcar Rashed Jr.,NYJ,LB,null,null,null,null,null,null,null,null,null,16,null,null,null,null,null,null,null,null,16,27.6,3.1,0.5
1621,Barrington Wade,DEN,ILB,null,null,null,null,null,null,14,11,12,null,null,null,null,null,null,null,15,null,52,19.3,1,0.5
